"code";"name";"versjon"
"030101";"Gamle Oslo";1
"030102";"Grünerløkka";1
"030103";"Sagene";1
"030104";"St. Hanshaugen";1
"030105";"Frogner";1
"030106";"Ullern";1
"030107";"Vestre Aker";1
"030108";"Nordre Aker";1
"030109";"Bjerke";1
"030110";"Grorud";1
"030111";"Stovner";1
"030112";"Alna";1
"030113";"Østensjø";1
"030114";"Nordstrand";1
"030115";"Søndre Nordstrand";1
"030116";"Sentrum";1
"030117";"Marka";1
"030199";"Uoppgitt";1
"110301";"Hundvåg";1
"110302";"Tasta";1
"110303";"Eiganes og Våland";1
"110304";"Madla";1
"110305";"Storhaug";1
"110306";"Hillevåg";1
"110307";"Hinna";1
"110308";"Finnøy";1
"110309";"Rennesøy";1
"110399";"Uoppgitt";1
"460101";"Arna";1
"460102";"Bergenhus";1
"460103";"Fana";1
"460104";"Fyllingsdalen";1
"460105";"Laksevåg";1
"460106";"Ytrebygda";1
"460107";"Årstad";1
"460108";"Åsane";1
"460199";"Uoppgitt";1
"500101";"Midtbyen";1
"500102";"Østbyen";1
"500103";"Lerkendal";1
"500104";"Heimdal";1
"500199";"Uoppgitt";1
"120101";"Arna";2
"120102";"Bergenhus";2
"120103";"Fana";2
"120104";"Fyllingsdalen";2
"120105";"Laksevåg";2
"120106";"Ytrebygda";2
"120107";"Årstad";2
"120108";"Åsane";2
"120199";"Uoppgitt";2
"160101";"Midtbyen";3
"160102";"Østbyen";3
"160103";"Lerkendal";3
"160104";"Heimdal";3
"160199";"Uoppgitt";3
"0301";"Oslo";1
"1101";"Eigersund";1
"1103";"Stavanger";1
"1106";"Haugesund";1
"1108";"Sandnes";1
"1111";"Sokndal";1
"1112";"Lund";1
"1114";"Bjerkreim";1
"1119";"Hå";1
"1120";"Klepp";1
"1121";"Time";1
"1122";"Gjesdal";1
"1124";"Sola";1
"1127";"Randaberg";1
"1130";"Strand";1
"1133";"Hjelmeland";1
"1134";"Suldal";1
"1135";"Sauda";1
"1144";"Kvitsøy";1
"1145";"Bokn";1
"1146";"Tysvær";1
"1149";"Karmøy";1
"1151";"Utsira";1
"1160";"Vindafjord";1
"1505";"Kristiansund";1
"1506";"Molde";1
"1507";"Ålesund";1
"1511";"Vanylven";1
"1514";"Sande";1
"1515";"Herøy (Møre og Romsdal)";1
"1516";"Ulstein";1
"1517";"Hareid";1
"1520";"Ørsta";1
"1525";"Stranda";1
"1528";"Sykkylven";1
"1531";"Sula";1
"1532";"Giske";1
"1535";"Vestnes";1
"1539";"Rauma";1
"1547";"Aukra";1
"1554";"Averøy";1
"1557";"Gjemnes";1
"1560";"Tingvoll";1
"1563";"Sunndal";1
"1566";"Surnadal";1
"1573";"Smøla";1
"1576";"Aure";1
"1577";"Volda";1
"1578";"Fjord";1
"1579";"Hustadvika";1
"1804";"Bodø";1
"1806";"Narvik";1
"1811";"Bindal";1
"1812";"Sømna";1
"1813";"Brønnøy";1
"1815";"Vega";1
"1816";"Vevelstad";1
"1818";"Herøy (Nordland)";1
"1820";"Alstahaug";1
"1822";"Leirfjord";1
"1824";"Vefsn";1
"1825";"Grane";1
"1826";"Aarborte - Hattfjelldal";1
"1827";"Dønna";1
"1828";"Nesna";1
"1832";"Hemnes";1
"1833";"Rana";1
"1834";"Lurøy";1
"1835";"Træna";1
"1836";"Rødøy";1
"1837";"Meløy";1
"1838";"Gildeskål";1
"1839";"Beiarn";1
"1840";"Saltdal";1
"1841";"Fauske - Fuossko";1
"1845";"Sørfold";1
"1848";"Steigen";1
"1851";"Lødingen";1
"1853";"Evenes";1
"1856";"Røst";1
"1857";"Værøy";1
"1859";"Flakstad";1
"1860";"Vestvågøy";1
"1865";"Vågan";1
"1866";"Hadsel";1
"1867";"Bø";1
"1868";"Øksnes";1
"1870";"Sortland - Suortá";1
"1871";"Andøy";1
"1874";"Moskenes";1
"1875";"Hábmer - Hamarøy";1
"3001";"Halden";1
"3002";"Moss";1
"3003";"Sarpsborg";1
"3004";"Fredrikstad";1
"3005";"Drammen";1
"3006";"Kongsberg";1
"3007";"Ringerike";1
"3011";"Hvaler";1
"3012";"Aremark";1
"3013";"Marker";1
"3014";"Indre Østfold";1
"3015";"Skiptvet";1
"3016";"Rakkestad";1
"3017";"Råde";1
"3018";"Våler (Viken)";1
"3019";"Vestby";1
"3020";"Nordre Follo";1
"3021";"Ås";1
"3022";"Frogn";1
"3023";"Nesodden";1
"3024";"Bærum";1
"3025";"Asker";1
"3026";"Aurskog-Høland";1
"3027";"Rælingen";1
"3028";"Enebakk";1
"3029";"Lørenskog";1
"3030";"Lillestrøm";1
"3031";"Nittedal";1
"3032";"Gjerdrum";1
"3033";"Ullensaker";1
"3034";"Nes";1
"3035";"Eidsvoll";1
"3036";"Nannestad";1
"3037";"Hurdal";1
"3038";"Hole";1
"3039";"Flå";1
"3040";"Nesbyen";1
"3041";"Gol";1
"3042";"Hemsedal";1
"3043";"Ål";1
"3044";"Hol";1
